sampleid,species,collection_date,tooth_type,lab_test,lab_researcher,published,publication,age,cc,notes
KEL67,Eidolon dupreanum,12/17/14,NA,aged,Cara Brook,no,NA,0.082191781,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL82,Eidolon dupreanum,12/18/14,NA,aged,Cara Brook,no,NA,0.084931507,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL92,Eidolon dupreanum,12/18/14,NA,aged,Cara Brook,no,NA,0.084931507,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO66,Pteropus rufus,3/11/15,NA,aged,Cara Brook,no,NA,0.443835616,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO70,Pteropus rufus,3/13/15,NA,aged,Cara Brook,no,NA,0.449315068,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO74,Pteropus rufus,3/14/15,NA,aged,Cara Brook,no,NA,0.452054795,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO76,Pteropus rufus,3/16/15,NA,aged,Cara Brook,no,NA,0.457534247,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB63,Pteropus rufus,3/18/15,NA,aged,Cara Brook,no,NA,0.463013699,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB64,Pteropus rufus,3/18/15,NA,aged,Cara Brook,no,NA,0.463013699,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB71,Pteropus rufus,3/20/15,NA,aged,Cara Brook,no,NA,0.468493151,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB73,Pteropus rufus,3/21/15,NA,aged,Cara Brook,no,NA,0.471232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB74,Pteropus rufus,3/21/15,NA,aged,Cara Brook,no,NA,0.471232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB77,Pteropus rufus,3/22/15,NA,aged,Cara Brook,no,NA,0.473972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU72,Rousettus madagascariensis,3/29/15,NA,aged,Cara Brook,no,NA,0.290410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANDH1,Eidolon dupreanum,4/2/15,NA,aged,Cara Brook,no,NA,0.37260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ77,Rousettus madagascariensis,4/25/15,NA,aged,Cara Brook,no,NA,0.364383562,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ95,Rousettus madagascariensis,4/26/15,NA,aged,Cara Brook,no,NA,0.367123288,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB78,Eidolon dupreanum,4/27/15,NA,aged,Cara Brook,no,NA,0.44109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO77,Pteropus rufus,5/15/15,NA,aged,Cara Brook,no,NA,0.621917808,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO78,Pteropus rufus,5/16/15,NA,aged,Cara Brook,no,NA,0.624657534,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO79,Pteropus rufus,5/17/15,NA,aged,Cara Brook,no,NA,0.62739726,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO80,Pteropus rufus,5/17/15,NA,aged,Cara Brook,no,NA,0.62739726,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MARO81,Pteropus rufus,5/18/15,NA,aged,Cara Brook,no,NA,0.630136986,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB87,Eidolon dupreanum,6/22/15,NA,aged,Cara Brook,no,NA,0.594520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB109,Eidolon dupreanum,6/23/15,NA,aged,Cara Brook,no,NA,0.597260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MAK5,Pteropus rufus,7/9/15,NA,aged,Cara Brook,no,NA,0.77260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MAK6,Pteropus rufus,7/10/15,NA,aged,Cara Brook,no,NA,0.775342466,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MAK9,Pteropus rufus,7/11/15,NA,aged,Cara Brook,no,NA,0.778082192,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB95,Pteropus rufus,1/17/16,NA,aged,Cara Brook,no,NA,0.298630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB97,Pteropus rufus,1/17/16,NA,aged,Cara Brook,no,NA,0.298630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB99,Pteropus rufus,1/18/16,NA,aged,Cara Brook,no,NA,0.301369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB101,Pteropus rufus,1/18/16,NA,aged,Cara Brook,no,NA,0.301369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB102,Pteropus rufus,1/18/16,NA,aged,Cara Brook,no,NA,0.301369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB104,Pteropus rufus,1/18/16,NA,aged,Cara Brook,no,NA,0.301369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB109,Pteropus rufus,1/19/16,NA,aged,Cara Brook,no,NA,0.304109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB115,Pteropus rufus,1/20/16,NA,aged,Cara Brook,no,NA,0.306849315,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB121,Pteropus rufus,1/21/16,NA,aged,Cara Brook,no,NA,0.309589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ103B,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ107,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ113,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ117,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ121,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ122,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ124,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ126,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ128,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ130,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ132,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ134,Rousettus madagascariensis,1/22/16,NA,aged,Cara Brook,no,NA,0.109589041,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL171,Eidolon dupreanum,2/15/18,NA,aged,Cara Brook,no,NA,0.246575342,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL169,Eidolon dupreanum,2/15/18,NA,aged,Cara Brook,no,NA,0.246575342,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL166,Eidolon dupreanum,2/15/18,NA,aged,Cara Brook,no,NA,0.246575342,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL164,Eidolon dupreanum,2/15/18,NA,aged,Cara Brook,no,NA,0.246575342,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL159,Eidolon dupreanum,2/15/18,NA,aged,Cara Brook,no,NA,0.246575342,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL158,Eidolon dupreanum,2/15/18,NA,aged,Cara Brook,no,NA,0.246575342,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ135,Rousettus madagascariensis,2/18/18,NA,aged,Cara Brook,no,NA,0.183561644,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ141,Rousettus madagascariensis,2/18/18,NA,aged,Cara Brook,no,NA,0.183561644,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ144,Rousettus madagascariensis,2/18/18,NA,aged,Cara Brook,no,NA,0.183561644,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ137,Rousettus madagascariensis,2/18/18,NA,aged,Cara Brook,no,NA,0.183561644,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ153,Rousettus madagascariensis,2/19/18,NA,aged,Cara Brook,no,NA,0.18630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ156,Rousettus madagascariensis,2/19/18,NA,aged,Cara Brook,no,NA,0.18630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ158,Rousettus madagascariensis,2/19/18,NA,aged,Cara Brook,no,NA,0.18630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ160,Rousettus madagascariensis,2/19/18,NA,aged,Cara Brook,no,NA,0.18630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB124,Pteropus rufus,2/23/18,NA,aged,Cara Brook,no,NA,0.4,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB127,Pteropus rufus,2/24/18,NA,aged,Cara Brook,no,NA,0.402739726,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB128,Pteropus rufus,2/25/18,NA,aged,Cara Brook,no,NA,0.405479452,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB133,Pteropus rufus,2/28/18,NA,aged,Cara Brook,no,NA,0.41369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB137,Pteropus rufus,3/1/18,NA,aged,Cara Brook,no,NA,0.416438356,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL206,Eidolon dupreanum,4/10/18,NA,aged,Cara Brook,no,NA,0.394520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL193,Eidolon dupreanum,4/10/18,NA,aged,Cara Brook,no,NA,0.394520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ176,Rousettus madagascariensis,4/13/18,NA,aged,Cara Brook,no,NA,0.331506849,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB140,Pteropus rufus,4/16/18,NA,aged,Cara Brook,no,NA,0.542465753,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB142,Pteropus rufus,4/17/18,NA,aged,Cara Brook,no,NA,0.545205479,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB144,Pteropus rufus,4/17/18,NA,aged,Cara Brook,no,NA,0.545205479,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB146,Pteropus rufus,4/19/18,NA,aged,Cara Brook,no,NA,0.550684932,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB148,Pteropus rufus,4/22/18,NA,aged,Cara Brook,no,NA,0.55890411,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ANGB146,Eidolon dupreanum,7/27/18,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL215,Eidolon dupreanum,7/27/18,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL221,Eidolon dupreanum,7/27/18,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL228,Eidolon dupreanum,7/27/18,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL236,Eidolon dupreanum,7/27/18,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ193,Rousettus madagascariensis,7/29/18,NA,aged,Cara Brook,no,NA,0.624657534,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB153,Pteropus rufus,8/7/18,NA,aged,Cara Brook,no,NA,0.852054795,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB154,Pteropus rufus,8/7/18,NA,aged,Cara Brook,no,NA,0.852054795,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ225,Rousettus madagascariensis,9/11/18,NA,aged,Cara Brook,no,NA,0.745205479,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ231,Rousettus madagascariensis,9/11/18,NA,aged,Cara Brook,no,NA,0.745205479,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ232,Rousettus madagascariensis,9/11/18,NA,aged,Cara Brook,no,NA,0.745205479,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ233,Rousettus madagascariensis,9/11/18,NA,aged,Cara Brook,no,NA,0.745205479,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ234,Rousettus madagascariensis,9/11/18,NA,aged,Cara Brook,no,NA,0.745205479,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ243,Rousettus madagascariensis,9/12/18,NA,aged,Cara Brook,no,NA,0.747945205,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MNG001,Pteropus rufus,9/20/18,NA,aged,Cara Brook,no,NA,0.97260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MNG002,Pteropus rufus,9/21/18,NA,aged,Cara Brook,no,NA,0.975342466,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MNG003,Pteropus rufus,9/23/18,NA,aged,Cara Brook,no,NA,0.980821918,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MLB002,Pteropus rufus,12/13/18,NA,aged,Cara Brook,no,NA,0.202739726,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MLB003,Pteropus rufus,12/14/18,NA,aged,Cara Brook,no,NA,0.205479452,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MLB007,Pteropus rufus,12/18/18,NA,aged,Cara Brook,no,NA,0.216438356,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ245,Rousettus madagascariensis,12/20/18,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ248,Rousettus madagascariensis,12/20/18,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ255,Rousettus madagascariensis,12/20/18,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ256,Rousettus madagascariensis,12/20/18,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ257,Rousettus madagascariensis,12/20/18,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ258,Rousettus madagascariensis,12/20/18,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ259,Rousettus madagascariensis,12/20/18,NA,aged,Cara Brook,no,NA,0.019178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ267,Rousettus madagascariensis,12/21/18,NA,aged,Cara Brook,no,NA,0.021917808,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ263,Rousettus madagascariensis,12/21/18,NA,aged,Cara Brook,no,NA,0.021917808,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ264,Rousettus madagascariensis,12/21/18,NA,aged,Cara Brook,no,NA,0.021917808,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ268,Rousettus madagascariensis,12/21/18,NA,aged,Cara Brook,no,NA,0.021917808,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ272,Rousettus madagascariensis,12/21/18,NA,aged,Cara Brook,no,NA,0.021917808,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ286,Rousettus madagascariensis,1/3/19,NA,aged,Cara Brook,no,NA,0.057534247,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ287,Rousettus madagascariensis,1/3/19,NA,aged,Cara Brook,no,NA,0.057534247,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ288,Rousettus madagascariensis,1/3/19,NA,aged,Cara Brook,no,NA,0.057534247,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ289,Rousettus madagascariensis,1/3/19,NA,aged,Cara Brook,no,NA,0.057534247,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ290,Rousettus madagascariensis,1/3/19,NA,aged,Cara Brook,no,NA,0.057534247,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ296,Rousettus madagascariensis,1/4/19,NA,aged,Cara Brook,no,NA,0.060273973,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ304,Rousettus madagascariensis,1/6/19,NA,aged,Cara Brook,no,NA,0.065753425,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ305(duplicatedsampleID),Rousettus madagascariensis,1/6/19,NA,aged,Cara Brook,no,NA,0.065753425,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ306(duplicatedsampleID),Rousettus madagascariensis,1/6/19,NA,aged,Cara Brook,no,NA,0.065753425,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ307(duplicatedsampleID),Rousettus madagascariensis,1/6/19,NA,aged,Cara Brook,no,NA,0.065753425,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ310,Rousettus madagascariensis,1/8/19,NA,aged,Cara Brook,no,NA,0.071232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ311,Rousettus madagascariensis,1/8/19,NA,aged,Cara Brook,no,NA,0.071232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ312,Rousettus madagascariensis,1/8/19,NA,aged,Cara Brook,no,NA,0.071232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ313,Rousettus madagascariensis,1/8/19,NA,aged,Cara Brook,no,NA,0.071232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL256,Eidolon dupreanum,1/8/19,NA,aged,Cara Brook,no,NA,0.142465753,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL257,Eidolon dupreanum,1/8/19,NA,aged,Cara Brook,no,NA,0.142465753,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL258,Eidolon dupreanum,1/8/19,NA,aged,Cara Brook,no,NA,0.142465753,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL259,Eidolon dupreanum,1/8/19,NA,aged,Cara Brook,no,NA,0.142465753,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ324,Rousettus madagascariensis,1/9/19,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
